,ICD10
1819,G11
1820,G11
1821,M85
1822,E83
1823,Q82
1824,Q77
1825,Q82
1826,Q77
1827,Q87
1828,G71
1829,M85
1830,Q87
1831,Q87
1832,Q74
1833,Q74
1834,E83
1835,G11
1836,G11
1837,Q77
1838,Q75
1839,Q87
1840,Q87
1841,M60
1842,M60
1843,G71
1844,G11
1845,Q77
1846,H35
1847,M85
1848,Q73
1849,Q73
1850,Q77
1851,G12
1852,G71
1853,G11
1854,G11
1855,G23
1856,G23
1857,G23
1858,E83
1859,E21
1860,A79
1861,A79
1862,M60
1863,G11
1864,G11
1865,G11
1866,G11
1867,Q87
1868,G11
1869,G11
1870,G11
1871,G11
1872,G71
1873,G71
1874,Q77
1875,Q77
1876,G11
1877,G11
1878,A50
1879,A50
1880,G11
1881,G11
1882,Q75
1883,G11
1884,G11
1885,G11
1886,G11
1887,G11
1888,G11
1889,G11
1890,G11
1891,Q87
1892,G71
1893,G11
1894,G11
1895,Q87
1896,Q87
1897,M27
1898,M27
1899,Q82
1900,D70
1901,G11
1902,G11
1903,G11
1904,G11
1905,G11
1906,G11
1907,G11
1908,G11
1909,D61
1910,G11
1911,G11
1912,D70
1913,M85
1914,G11
1915,G11
1916,G11
1917,G11
1918,Q74
1919,Q87
1920,G11
1921,G11
1922,G11
1923,G11
1924,Q82
1925,Q77
1926,Q77
1927,G11
1928,G11
1929,Q78
1930,G11
1931,G11
1932,Q32
1933,Q32
1934,G11
1935,G11
1936,G11
1937,G11
1938,Q82
1939,Q82
1940,G11
1941,G11
1942,G11
1943,G11
1944,G11
1945,Q87
1946,Q87
1947,G11
1948,G11
1949,Q82
1950,G11
1951,G11
1952,G11
1953,G11
1954,I01
1955,I01
1956,I01
1957,Q77
1958,G31
1959,G11
1960,G11
1961,Q87
1962,Q82
1963,G11
1964,G11
1965,G11
1966,G11
1967,Q77
1968,Q93
1969,G11
1970,G11
1971,G11
1972,G11
1973,G11
1974,G11
1975,G11
1976,G11
1977,G11
1978,G11
1979,G11
1980,Q77
1981,G11
1982,G11
1983,Q82
1984,G11
1985,G11
1986,Q74
1987,G11
1988,G11
1989,G11
1990,G11
1991,G11
1992,G11
1993,A50
1994,A50
1995,A50
1996,G11
1997,G11
1998,Q82
1999,G11
2000,G11
2001,Q77
2002,Q87
2003,Q76
2004,D70
2005,Q73
2006,Q73
2007,Q78
2008,Q73
2009,Q87
2010,Q87
2011,Q79
2012,Q73
2013,G71
2014,D70
2015,Q82
2016,D70
2017,G11
2018,Q87
2019,G11
2020,G11
2021,M76
2022,G11
2023,M33
2024,G11
2025,G11
2026,G11
2027,Q75
2028,G11
2029,G11
2030,M85
2031,Q73
2032,Q87
2033,G11
2034,Q87
2035,Q87
2036,Q87
2037,Q87
2038,Q87
2039,M89
2040,Q87
2041,Q68
2042,G11
2043,Q75
2044,C96
2045,Q77
2046,Q87
2047,Q87
2048,Q73
2049,Q78
2050,Q78
2051,Q78
2052,Q87
